line_no,game_no,user_id,shot_type,result,status,period,x_axis,y_axis
1971,20212201,3,Backhand,S,EV,1,61,469
1972,20212201,13,Deflection,G,EV,1,-2,477
1973,20212201,71,OneTime,S,EV,1,-29,481
1974,20212201,71,Wrist,G,EV,1,119,392
1975,20212201,8,Slap,S,EV,1,-199,241
1976,20212201,3,Wrist,A,EV,1,60,471
1977,20212201,72,Wrist,S,EV,1,121,372
1978,20212201,16,Wrist,A,EV,1,-71,377
1979,20212201,1,Slap,S,EV,1,-63,340
1980,20212201,72,Wrist,S,EV,1,18,449
1981,20212201,72,Wrist,B,EV,1,160,355
1982,20212201,10,OneTime,S,EV,1,233,225
1983,20212201,3,Wrist,G,EV,1,-81,460
1984,20212201,74,Slap,S,EV,1,-39,170
1985,20212201,13,Wrist,S,EV,1,81,440
1986,20212201,10,Wrist,S,EV,1,-68,202
1987,20212201,8,Slap,A,EV,1,-2,191
1988,20212201,72,Wrist,A,PP,2,215,333
1989,20212201,15,Wrist,S,PP,2,-64,460
1990,20212201,8,Wrist,A,PP,2,151,310
1991,20212201,8,Wrist,S,PP,2,55,250
1992,20212201,72,Wrist,A,PP,2,8,210
1993,20212201,1,Rebound,G,PP,2,-4,465
1994,20212201,74,Slap,B,EV,2,222,310
1995,20212201,11,Wrist,A,EV,2,-233,390
1996,20212201,71,Wrist,S,EV,2,235,405
1997,20212201,3,Wrist,S,EV,2,-111,397
1998,20212201,72,Wrist,S,EV,2,200,280
1999,20212201,71,Rebound,S,EV,2,68,465
2000,20212201,8,Wrist,B,SH,2,-236,297
2001,20212201,3,Wrist,S,SH,2,41,440
2002,20212201,13,Slap,S,SH,2,-149,342
2003,20212201,10,Wrist,A,EV,2,244,335
2004,20212201,72,Wrist,S,EV,2,80,200
2005,20212201,8,Wrist,S,EV,2,-241,355
2006,20212201,72,Wrist,A,EV,2,-146,296
2024,20212201,13,Wrist,S,EV,3,15,480
2025,20212201,3,Wrist,S,EV,3,56,430
2026,20212201,13,Rebound,S,EV,3,68,475
2027,20212201,13,OneTime,S,EV,3,-6,455
2028,20212201,72,Wrist,A,EV,3,-90,379
2029,20212201,10,Wrist,A,EV,3,249,405
2030,20212201,3,OneTime,A,EV,3,39,435
2031,20212201,8,Wrist,S,EV,3,230,310
2032,20212201,72,Wrist,B,EV,3,240,407
2033,20212201,74,Wrist,A,EV,3,91,433
2034,20212201,74,Backhand,S,EV,3,-19,481
2035,20212201,72,Wrist,B,EV,3,-22,358
2036,20212201,11,Wrist,B,EV,3,-245,380
2037,20212201,8,Wrist,S,EV,3,52,418
2038,20212201,10,Wrist,A,EV,3,246,240
2039,20212201,72,Wrist,A,EV,3,100,375
2040,20212201,11,Wrist,A,EV,3,-179,185
2057,20212202,11,Wrist,S,EV,1,175,168
2058,20212202,7,Wrist,S,EV,1,-45,359
2059,20212202,3,Wrist,S,EV,1,120,418
2060,20212202,72,Wrist,S,EV,1,215,355
2061,20212202,72,Wrist,S,EV,1,63,340
2062,20212202,13,Deflection,S,EV,1,74,388
2063,20212202,72,Wrist,S,EV,1,-100,380
2064,20212202,74,Wrist,A,EV,1,-112,351
2065,20212202,72,Wrist,B,EV,1,-185,290
2082,20212202,72,Wrist,S,EV,3,-208,225
2083,20212202,1,Slap,S,EV,3,246,158
2084,20212202,5,Wrist,B,EV,3,-54,344
2085,20212202,74,Slap,G,EV,3,-119,350
2086,20212202,74,Wrist,G,EV,3,19,408
2087,20212202,3,Wrist,A,EV,3,99,433
2088,20212202,7,OneTime,A,EV,3,-15,358
2089,20212202,3,Rebound,G,EV,3,22,470
2090,20212202,13,Wrist,B,EV,3,-235,155
2091,20212202,13,Slap,A,EV,3,-162,250
2092,20212202,7,Wrist,S,EV,3,-140,225
2093,20212202,72,Wrist,A,EV,3,55,418
2094,20212202,73,Rebound,A,EV,3,-50,509
2095,20212202,73,Rebound,A,EV,3,-52,508
2096,20212202,72,Wrist,S,EV,3,42,330
2097,20212202,72,Wrist,S,EV,3,-108,390
2098,20212202,68,Rebound,S,EV,3,-69,500
2099,20212202,68,Rebound,G,EV,3,-68,505
2100,20212202,72,Wrist,A,EV,3,3,200
2101,20212202,7,Wrist,S,PP,3,-149,320
2102,20212202,72,Wrist,A,PP,3,8,310
2103,20212202,1,Wrist,A,EV,3,241,399
2104,20212202,73,Rebound,S,EV,3,48,496
2105,20212202,13,Slap,S,EV,2,-244,185
2106,20212202,10,Wrist,A,EV,2,6,155
2107,20212202,10,Wrist,S,EV,2,97,205
2108,20212202,74,Wrist,A,EV,2,-8,380
2109,20212202,3,Wrist,A,EV,2,52,472
2110,20212202,13,Wrist,S,PP,2,-148,394
2111,20212202,1,Deflection,S,PP,2,-47,399
2112,20212202,13,Rebound,G,PP,2,-49,500
2113,20212202,72,Wrist,A,EV,2,100,410
2114,20212202,11,Wrist,S,EV,2,22,185
2115,20212202,72,Wrist,S,EV,2,-133,400
2116,20212202,5,OneTime,A,EV,2,-52,475
2117,20212202,68,Wrist,S,EV,2,6,392
2118,20212202,10,Wrist,S,EV,2,139,295
2119,20212202,3,Wrist,A,EV,2,-200,370
2120,20212202,11,Wrist,B,EV,2,147,350
2121,20212202,11,Wrist,S,EV,2,140,360
2122,20212202,72,Wrist,S,EV,2,-75,399
2123,20212202,68,Deflection,S,EV,2,-50,485
2124,20212202,10,Wrist,S,EV,2,218,430
2125,20212202,3,Wrist,S,EV,2,80,428
2126,20212202,5,Wrist,A,EV,2,-227,378
2127,20212202,13,Wrist,S,EV,2,-122,409
2128,20212202,10,Wrist,A,EV,2,8,222
2148,20212203,5,Wrist,B,EV,1,-236,433
2149,20212203,5,Backhand,S,EV,1,-200,490
2150,20212203,3,Wrist,B,EV,1,240,360
2151,20212203,13,Wrist,S,EV,1,44,320
2152,20212203,16,Deflection,S,EV,1,60,415
2153,20212203,71,Backhand,A,EV,1,-90,471
2154,20212203,72,Wrist,B,EV,1,72,163
2155,20212203,3,Wrist,A,EV,1,110,415
2156,20212203,73,Wrist,S,EV,1,52,498
2157,20212203,71,Rebound,S,EV,1,53,503
2158,20212203,73,Wrist,S,EV,1,-79,170
2159,20212203,73,OneTime,S,EV,1,-68,358
2160,20212203,73,Wrist,B,EV,1,-57,351
2161,20212203,13,Slap,S,EV,1,-120,310
2162,20212203,73,Wrist,S,EV,1,99,350
2163,20212203,13,Wrist,S,EV,1,-80,305
2164,20212203,11,Wrist,A,PP,1,-100,208
2165,20212203,68,Rebound,G,PP,1,29,440
2166,20212203,3,Wrist,A,EV,1,-123,362
2167,20212203,3,Wrist,A,EV,1,-59,488
2168,20212203,13,Wrist,A,EV,1,82,390
2169,20212203,71,Wrist,A,EV,1,155,390
2191,20212203,13,Wrist,A,EV,3,93,390
2192,20212203,13,Slap,S,EV,3,-70,158
2193,20212203,72,Wrist,S,EV,3,-108,240
2194,20212203,13,Slap,B,EV,3,-220,170
2195,20212203,71,Wrist,A,EV,3,118,352
2196,20212203,72,Wrist,S,EV,3,-64,380
2197,20212203,73,Wrist,B,EV,3,-72,339
2198,20212203,11,Wrist,B,EV,3,-242,215
2199,20212203,72,Wrist,A,EV,3,-52,365
2200,20212203,8,Slap,B,EV,3,89,158
2201,20212203,8,Wrist,B,EV,3,-89,218
2202,20212203,68,Slap,S,EV,2,-218,290
2203,20212203,5,OneTime,A,EV,2,10,419
2204,20212203,11,Wrist,B,EV,2,-219,210
2205,20212203,8,Slap,S,EV,2,67,230
2206,20212203,5,Rebound,S,EV,2,-25,450
2207,20212203,13,Wrist,B,EV,2,-69,219
2208,20212203,68,Wrist,A,EV,2,16,390
2209,20212203,68,Wrist,S,EV,2,-100,460
2210,20212203,68,Rebound,S,EV,2,-62,481
2211,20212203,8,Wrist,A,EV,2,99,327
2212,20212203,72,Wrist,B,EV,2,229,190
2213,20212203,71,Wrist,S,EV,2,201,500
2214,20212203,13,Slap,B,EV,2,-232,200
2215,20212203,16,Wrist,S,EV,2,-28,449
2216,20212203,13,Slap,B,EV,2,-147,356
2217,20212203,13,Slap,B,EV,2,-188,369
2218,20212203,3,Backhand,S,EV,2,72,455
2219,20212203,3,Wrist,S,EV,2,-185,310
2220,20212203,72,Wrist,B,EV,2,-96,358
2221,20212203,68,Wrist,S,EV,2,-222,408
2222,20212203,3,Wrist,S,EV,2,239,200
2223,20212203,68,Wrist,A,EV,2,-109,188
2224,20212203,13,Wrist,S,EV,2,-10,0
2225,20212203,72,Wrist,A,PP,2,65,340
2226,20212203,71,Rebound,G,PP,2,-45,502
2247,20212204,71,Backhand,S,EV,1,0,0
2248,20212204,8,Wrist,B,EV,1,0,0
2251,20212204,72,Wrist,B,EV,1,0,0
2255,20212204,72,Wrist,S,EV,1,0,0
